"id"	"eid"	"sex"
1076517	1076517	0
1076961	1076961	0
1077280	1077280	0
1077728	1077728	0
1078332	1078332	1
1078354	1078354	1
1078740	1078740	0
1078796	1078796	1
1078808	1078808	0
1078901	1078901	0
1079194	1079194	0
1079395	1079395	1
1079678	1079678	1
1079848	1079848	0
1079966	1079966	1
1080118	1080118	0
1080297	1080297	1
1081179	1081179	1
1081287	1081287	1
1082085	1082085	0
1082555	1082555	0
1082967	1082967	0
1083196	1083196	1
1083323	1083323	1
1083359	1083359	0
1083797	1083797	0
1084206	1084206	0
1084243	1084243	0
1084268	1084268	1
1084285	1084285	1
1084397	1084397	1
1084489	1084489	1
1084730	1084730	1
1084871	1084871	1
1085987	1085987	1
1086259	1086259	0
1086435	1086435	1
1086692	1086692	1
1086733	1086733	1
1087038	1087038	1
1087763	1087763	0
1088049	1088049	1
1088152	1088152	1
1089116	1089116	0
1089165	1089165	1
1089263	1089263	1
1089449	1089449	0
1090550	1090550	0
1091225	1091225	0
1091347	1091347	1
1091579	1091579	0
1091638	1091638	1
1091874	1091874	0
1092325	1092325	1
1092348	1092348	0
1092376	1092376	1
1092483	1092483	1
1092694	1092694	1
1093099	1093099	0
1093179	1093179	0
1093395	1093395	1
1094064	1094064	0
1094180	1094180	0
1094375	1094375	1
1094419	1094419	0
1094714	1094714	1
1095215	1095215	1
1095501	1095501	1
1095623	1095623	1
1095677	1095677	0
1095743	1095743	1
1095751	1095751	0
1095948	1095948	0
1096718	1096718	1
1096877	1096877	0
1096924	1096924	1
1097337	1097337	0
1097415	1097415	0
1097761	1097761	1
1097838	1097838	1
1097889	1097889	1
1098005	1098005	1
1098018	1098018	1
1098193	1098193	0
1098489	1098489	1
1098525	1098525	0
1098621	1098621	1
1098922	1098922	1
1099024	1099024	0
1099121	1099121	1
1099133	1099133	0
1099302	1099302	1
1099450	1099450	1
1099484	1099484	0
1099577	1099577	0
1099776	1099776	1
1100118	1100118	1
1100200	1100200	1
1100586	1100586	1
1100676	1100676	1
1100965	1100965	1
1101045	1101045	1
1101477	1101477	0
1101929	1101929	1
1103025	1103025	0
1103048	1103048	0
1103420	1103420	1
1103573	1103573	1
1103755	1103755	0
1104073	1104073	0
1104101	1104101	1
1104187	1104187	0
1104467	1104467	1
1104759	1104759	0
1104871	1104871	1
1104922	1104922	0
1104936	1104936	1
1105197	1105197	1
1105229	1105229	0
1105284	1105284	1
1105354	1105354	1
1105461	1105461	1
1105808	1105808	1
1106346	1106346	0
1106762	1106762	0
1106900	1106900	0
1106997	1106997	0
1107121	1107121	0
1107149	1107149	1
1107245	1107245	1
1107315	1107315	0
1107353	1107353	0
1107855	1107855	1
1107951	1107951	1
1108021	1108021	1
1108751	1108751	0
1108768	1108768	1
1108991	1108991	1
1109209	1109209	0
1109291	1109291	1
1109667	1109667	1
1109701	1109701	0
1109772	1109772	1
1109899	1109899	0
1109939	1109939	1
1110052	1110052	0
1110075	1110075	0
1110121	1110121	1
1110207	1110207	0
1110245	1110245	1
1110261	1110261	0
1110274	1110274	1
1110396	1110396	0
1110530	1110530	1
1110582	1110582	0
1110601	1110601	0
1110687	1110687	1
1111153	1111153	1
1111238	1111238	0
1111267	1111267	0
1111275	1111275	0
1111323	1111323	1
1111443	1111443	0
1111734	1111734	0
1112125	1112125	1
1112389	1112389	1
1112428	1112428	0
1112749	1112749	1
1112978	1112978	1
1113035	1113035	1
1113297	1113297	1
1113343	1113343	0
1113453	1113453	1
1113514	1113514	1
1113707	1113707	1
1113982	1113982	0
1114111	1114111	0
1114146	1114146	1
1114175	1114175	0
1114336	1114336	1
1114501	1114501	1
1114925	1114925	0
1114954	1114954	1
1115463	1115463	0
1115731	1115731	1
1115816	1115816	0
1116243	1116243	0
1116294	1116294	1
1116378	1116378	1
1116716	1116716	1
1116765	1116765	1
1116839	1116839	0
1116871	1116871	1
1117248	1117248	1
1118134	1118134	0
1119201	1119201	1
1119293	1119293	0
1119588	1119588	0
1119711	1119711	0
1119738	1119738	0
1119790	1119790	0
1120014	1120014	1
1120152	1120152	1
1120544	1120544	0
1120925	1120925	0
1120991	1120991	0
1121006	1121006	1
1121136	1121136	0
1121602	1121602	1
1121841	1121841	0
1122168	1122168	0
1122179	1122179	1
1122185	1122185	1
1122293	1122293	1
1122482	1122482	0
1123065	1123065	0
1123134	1123134	1
1123407	1123407	1
1124121	1124121	1
1124162	1124162	1
1124353	1124353	0
1124371	1124371	1
1125091	1125091	1
1125584	1125584	1
1126069	1126069	1
1126366	1126366	1
1126512	1126512	1
1126551	1126551	1
1126624	1126624	1
1126858	1126858	1
1126953	1126953	0
1127119	1127119	0
1127237	1127237	1
1127509	1127509	1
1127563	1127563	0
1127907	1127907	0
1128514	1128514	1
1128799	1128799	0
1129673	1129673	0
1129843	1129843	1
1129969	1129969	0
1130499	1130499	1
1130503	1130503	0
1130796	1130796	1
1131002	1131002	1
1131176	1131176	0
1131230	1131230	1
1131311	1131311	1
1131338	1131338	1
1131389	1131389	1
